#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,183241.45,71694.24,31721.53,-16037.08,35480.91,-18139.74,39960.83,-20634.46,7256884.16,0.00,0.00,0.00,0.00,0.00,7517994.97,183241.45,71694.24,None,620647.89,620647.89
Swap_20,CPTY_A,155002.42,81395.26,35251.64,-13455.53,40302.70,-15345.91,46373.14,-17606.44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,542730.18,542730.18
Swap_21,CPTY_A,29107.64,29352.83,13645.58,-2666.47,14513.25,-2879.51,15461.97,-3114.18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,124690.97,124690.97
