#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-05-06,14,8446.290724,8438.135935,0.000000,8003.754819,CPTY_A,0.248634
1,2016-08-05,14,7502.648181,7521.609450,0.000000,7130.618605,CPTY_A,0.497268
2,2016-11-07,14,8413.417938,8424.829043,0.000000,7130.297601,CPTY_A,0.754098
3,2017-02-06,15,8342.494981,8334.017831,0.000000,8373.169697,CPTY_A,1.003002
4,2017-05-05,14,8513.020718,8527.173210,0.000000,9151.172517,CPTY_A,1.244098
5,2017-08-07,14,8116.822174,8138.281545,0.000000,9672.808717,CPTY_A,1.501632
6,2017-11-06,14,8032.814059,8072.996951,0.000000,7702.853006,CPTY_A,1.750947
7,2018-02-05,15,8090.480810,8150.849796,0.000000,8453.034806,CPTY_A,2.000262
8,2018-05-08,14,8764.364687,8698.954306,0.000000,9431.637947,CPTY_A,2.252317
9,2018-08-06,14,8895.332177,8884.237325,0.000000,8851.185313,CPTY_A,2.498892
10,2018-11-05,14,9207.321294,9288.597985,0.000000,7919.539736,CPTY_A,2.748207
11,2019-02-05,14,9452.952357,9458.427043,0.000000,10442.171818,CPTY_A,3.000262
12,2019-05-07,14,9103.479547,9013.093672,0.000000,9495.640334,CPTY_A,3.249577
13,2019-08-05,14,8860.871271,8832.619356,0.000000,10211.804164,CPTY_A,3.496152
14,2019-11-05,14,9121.160257,9069.202455,0.000000,8762.982239,CPTY_A,3.748207
15,2020-02-05,14,8871.313172,8765.207969,0.000000,8496.552813,CPTY_A,4.000000
16,2020-05-05,14,9172.917721,9187.223860,0.000000,9920.943990,CPTY_A,4.245902
17,2020-08-05,14,8636.998195,8726.339479,0.000000,8444.065977,CPTY_A,4.497268
18,2020-11-05,14,9175.292501,9197.855401,0.000000,9724.811902,CPTY_A,4.748634
19,2021-02-05,14,9116.555065,9105.805384,0.000000,10214.841489,CPTY_A,5.000262
20,2021-05-05,14,9370.647390,9371.469146,0.000000,8942.500852,CPTY_A,5.244098
21,2021-08-05,14,9048.542235,9162.658372,0.000000,8470.877699,CPTY_A,5.496152
22,2021-11-05,14,10084.072471,10014.581735,0.000000,11694.908072,CPTY_A,5.748207
23,2022-02-07,15,10416.983002,10308.081938,0.000000,11093.769847,CPTY_A,6.005741
24,2022-05-05,14,9547.162666,9563.823064,0.000000,9429.797726,CPTY_A,6.244098
25,2022-08-05,14,9474.873960,9362.595213,0.000000,10178.740687,CPTY_A,6.496152
26,2022-11-07,14,10391.648452,10463.502279,0.000000,8977.061214,CPTY_A,6.753687
27,2023-02-06,15,9398.929846,9292.094357,0.000000,10491.441161,CPTY_A,7.003002
28,2023-05-05,14,10252.545957,10209.189261,0.000000,9363.566227,CPTY_A,7.244098
29,2023-08-07,14,10605.502135,10486.200701,0.000000,9980.702355,CPTY_A,7.501632
30,2023-11-06,14,10876.444804,10850.918582,0.000000,13674.723146,CPTY_A,7.750947
31,2024-02-05,15,10912.043269,10713.280473,0.000000,10451.100247,CPTY_A,8.000000
32,2024-05-07,14,10738.567801,10215.819147,0.000000,14518.370700,CPTY_A,8.251366
33,2024-08-05,14,11486.619174,11287.296675,0.000000,12941.400463,CPTY_A,8.497268
34,2024-11-05,14,10314.904213,10178.588483,0.000000,10681.640145,CPTY_A,8.748634
35,2025-02-05,14,9962.364711,9810.947558,0.000000,11840.906011,CPTY_A,9.000262
36,2025-05-06,14,10631.589792,10117.271667,0.000000,11370.970379,CPTY_A,9.246837
37,2025-08-05,14,10553.044531,10309.881706,0.000000,9927.354127,CPTY_A,9.496152
38,2025-11-05,14,10345.938374,9951.037393,0.000000,10353.528420,CPTY_A,9.748207
39,2026-02-05,14,10202.390131,10060.527557,0.000000,12333.022414,CPTY_A,10.000262
