#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
BermSwp,Swaption,1,0,2035-09-03,InterestProjected,10135.8958,EUR,0.0196178628,0.5166666667,2035-03-01,2035-09-03,0.0000,2035-02-27,0.0196178628,1000000.0000,0.6748620961,6840.3318749747,1.0000000000,6840.3318749747,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BermSwp,Swaption,2,0,2036-03-03,InterestProjected,9916.2189,EUR,0.0196144988,0.5055555556,2035-09-03,2036-03-03,0.0000,2035-08-30,0.0196144988,1000000.0000,0.6681405205,6625.4276273288,1.0000000000,6625.4276273288,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BermSwp,Swaption,1,1,2036-03-03,Interest,-20155.1014,EUR,0.0200000000,1.0077550715,2035-03-01,2036-03-03,0.0000,#N/A,#N/A,1000000.0000,0.6681405205,-13466.4399604840,1.0000000000,-13466.4399604840,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
