#TradeId,ResultId,ResultType,ResultValue
BERMUDAN_SWAPTION,lgmCalibrationMarketVols[2],double,0.007845798664
BERMUDAN_SWAPTION,lgmCalibrationMarketVols[3],double,0.007775235818
BERMUDAN_SWAPTION,lgmCalibrationMarketVols[4],double,0.007719495767
BERMUDAN_SWAPTION,lgmCalibrationMarketVols[5],double,0.007687114106
BERMUDAN_SWAPTION,lgmCalibrationModelAlphas[0],double,0.007663080704
BERMUDAN_SWAPTION,lgmCalibrationModelAlphas[1],double,0.006673344749
BERMUDAN_SWAPTION,lgmCalibrationModelAlphas[2],double,0.006991091536
BERMUDAN_SWAPTION,lgmCalibrationModelAlphas[3],double,0.006663960936
BERMUDAN_SWAPTION,lgmCalibrationModelAlphas[4],double,0.006832654601
BERMUDAN_SWAPTION,lgmCalibrationModelAlphas[5],double,0.007061462277
BERMUDAN_SWAPTION,lgmCalibrationModelHwSigmas[0],double,0.007663080704
BERMUDAN_SWAPTION,lgmCalibrationModelHwSigmas[1],double,0.006673344749
BERMUDAN_SWAPTION,lgmCalibrationModelHwSigmas[2],double,0.006991091536
BERMUDAN_SWAPTION,lgmCalibrationModelHwSigmas[3],double,0.006663960936
BERMUDAN_SWAPTION,lgmCalibrationModelHwSigmas[4],double,0.006832654601
BERMUDAN_SWAPTION,lgmCalibrationModelHwSigmas[5],double,0.007061462277
BERMUDAN_SWAPTION,lgmCalibrationModelKappas[0],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelKappas[1],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelKappas[2],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelKappas[3],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelKappas[4],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelKappas[5],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelMarketValueDiffs[0],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelMarketValueDiffs[1],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelMarketValueDiffs[2],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelMarketValueDiffs[3],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelMarketValueDiffs[4],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelMarketValueDiffs[5],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelMarketVolDiffs[0],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelMarketVolDiffs[1],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelMarketVolDiffs[2],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelMarketVolDiffs[3],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelMarketVolDiffs[4],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelMarketVolDiffs[5],double,0.000000000000
BERMUDAN_SWAPTION,lgmCalibrationModelValues[0],double,0.013412396067
BERMUDAN_SWAPTION,lgmCalibrationModelValues[1],double,0.012891763900
BERMUDAN_SWAPTION,lgmCalibrationModelValues[2],double,0.012189482332
BERMUDAN_SWAPTION,lgmCalibrationModelValues[3],double,0.011075341105
BERMUDAN_SWAPTION,lgmCalibrationModelValues[4],double,0.009718366005
BERMUDAN_SWAPTION,lgmCalibrationModelValues[5],double,0.008493831192
BERMUDAN_SWAPTION,lgmCalibrationModelVols[0],double,0.007986763807
BERMUDAN_SWAPTION,lgmCalibrationModelVols[1],double,0.007897674292
BERMUDAN_SWAPTION,lgmCalibrationModelVols[2],double,0.007845798664
BERMUDAN_SWAPTION,lgmCalibrationModelVols[3],double,0.007775235818
BERMUDAN_SWAPTION,lgmCalibrationModelVols[4],double,0.007719495767
BERMUDAN_SWAPTION,lgmCalibrationModelVols[5],double,0.007687114106
BERMUDAN_SWAPTION,lgmCalibrationTimes[0],double,10.621917808219
BERMUDAN_SWAPTION,lgmCalibrationTimes[1],double,11.621917808219
BERMUDAN_SWAPTION,lgmCalibrationTimes[2],double,12.621917808219
BERMUDAN_SWAPTION,lgmCalibrationTimes[3],double,13.621917808219
BERMUDAN_SWAPTION,lgmCalibrationTimes[4],double,14.624657534247
BERMUDAN_SWAPTION,lgmCalibrationTimes[5],double,15.624657534247
BERMUDAN_SWAPTION,timing_avgRolledVectors,double,2.000000000000
BERMUDAN_SWAPTION,timing_cashflowUpdate,double,0.000205081000
BERMUDAN_SWAPTION,timing_optionality,double,0.000002542000
BERMUDAN_SWAPTION,timing_preprocessing,double,0.000035000000
BERMUDAN_SWAPTION,timing_rollback,double,0.001745082000
BERMUDAN_SWAPTION,timing_rollbackCalls,double,6.000000000000
BERMUDAN_SWAPTION,timing_total,double,0.002015750000
BERMUDAN_SWAPTION,underlyingNpv,double,1790925.716152715730
