#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,3916.53,189.63,81.49,-580.57,104.70,-656.78,121.57,-708.77,0.00,-97.18,0.00,0.00,0.00,0.00,0.00,3916.53,189.63,None,46951.88,47062.57
BermSwp,CPTY_A,3916.53,189.63,81.49,-580.57,104.70,-656.78,121.57,-708.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,46951.88,47062.57
