#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,42062.98,61090.02,29613.19,-4348.87,33863.07,-4981.26,36769.95,-5414.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42062.98,61090.02,None,246977.03,246977.03
Swap_20,CPTY_A,42062.98,61090.02,29613.19,-4348.87,33863.07,-4981.26,36769.95,-5414.98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,246977.03,246977.03
