#NettingSetId,Sample,PosExpNoColl,NegExpNoColl,PosExpWithColl,NegExpWithColl
CPTY_A,259,40975.4005,-431483.0666,40975.4005,-431483.0666
CPTY_A,260,181484.6494,-214441.7314,181484.6494,-214441.7314
CPTY_A,261,517520.5554,-114263.3626,517520.5554,-114263.3626
CPTY_A,262,635302.1931,-263418.6626,635302.1931,-263418.6626
CPTY_A,263,581328.4995,-7915.6283,581328.4995,-7915.6283
CPTY_A,264,8534.5479,-556322.5095,8534.5479,-556322.5095
CPTY_A,265,0.0000,-1042044.7236,0.0000,-1042044.7236
CPTY_A,266,73240.6098,-425553.3209,73240.6098,-425553.3209
CPTY_A,267,151358.8302,-143544.7793,151358.8302,-143544.7793
CPTY_A,268,66371.7749,-273230.3522,66371.7749,-273230.3522
CPTY_A,269,66336.0350,-359797.3677,66336.0350,-359797.3677
CPTY_A,270,1015314.1204,-10177.1787,1015314.1204,-10177.1787
CPTY_A,271,1062676.8032,-4059.3141,1062676.8032,-4059.3141
CPTY_A,272,387470.7457,-332380.3128,387470.7457,-332380.3128
CPTY_A,273,12771.8472,-593838.6885,12771.8472,-593838.6885
CPTY_A,274,1848118.4604,-17043.9126,1848118.4604,-17043.9126
CPTY_A,275,2371.4992,-507524.7280,2371.4992,-507524.7280
CPTY_A,276,0.0000,-1117645.6815,0.0000,-1117645.6815
CPTY_A,277,282104.2798,-235291.1351,282104.2798,-235291.1351
CPTY_A,278,570133.0333,-36018.5431,570133.0333,-36018.5431
CPTY_A,279,1459830.3373,-1846.7783,1459830.3373,-1846.7783
CPTY_A,280,98065.3343,-794212.7430,98065.3343,-794212.7430
CPTY_A,281,0.0000,-908227.8473,0.0000,-908227.8473
CPTY_A,282,394267.4619,-17861.8329,394267.4619,-17861.8329
CPTY_A,283,42659.0604,-334375.4270,42659.0604,-334375.4270
CPTY_A,284,381396.4386,-172972.0742,381396.4386,-172972.0742
CPTY_A,285,216974.1591,-158421.9428,216974.1591,-158421.9428
CPTY_A,286,894821.3744,-225999.1662,894821.3744,-225999.1662
CPTY_A,287,1239609.8399,0.0000,1239609.8399,0.0000
CPTY_A,288,773.3725,-678010.2680,773.3725,-678010.2680
CPTY_A,289,16915.3969,-854613.0518,16915.3969,-854613.0518
CPTY_A,290,989521.8378,-178.5994,989521.8378,-178.5994
CPTY_A,291,5640.9773,-618787.6710,5640.9773,-618787.6710
CPTY_A,292,109239.3353,-448997.2790,109239.3353,-448997.2790
CPTY_A,293,811832.4878,-84827.3360,811832.4878,-84827.3360
CPTY_A,294,391820.8208,-64068.7808,391820.8208,-64068.7808
CPTY_A,295,299177.3344,-126209.9983,299177.3344,-126209.9983
CPTY_A,296,38771.8142,-415881.1738,38771.8142,-415881.1738
CPTY_A,297,58734.8546,-770827.3032,58734.8546,-770827.3032
CPTY_A,298,203598.3286,-79137.0264,203598.3286,-79137.0264
CPTY_A,299,509306.1189,-260492.5994,509306.1189,-260492.5994
CPTY_A,300,15713.0724,-304652.3637,15713.0724,-304652.3637
CPTY_A,301,57301.8056,-367947.8699,57301.8056,-367947.8699
CPTY_A,302,569909.0853,-43798.9084,569909.0853,-43798.9084
CPTY_A,303,916526.6270,-77487.4236,916526.6270,-77487.4236
CPTY_A,304,205.8678,-586203.8872,205.8678,-586203.8872
CPTY_A,305,112348.2250,-492655.5228,112348.2250,-492655.5228
CPTY_A,306,1077691.8883,-160847.8024,1077691.8883,-160847.8024
CPTY_A,307,43211.6576,-425841.1286,43211.6576,-425841.1286
CPTY_A,308,1390.2391,-724041.4710,1390.2391,-724041.4710
CPTY_A,309,71797.3751,-408965.1078,71797.3751,-408965.1078
CPTY_A,310,247287.1253,-121630.0269,247287.1253,-121630.0269
CPTY_A,311,1675746.1848,0.0000,1675746.1848,0.0000
CPTY_A,312,83588.5871,-404659.6956,83588.5871,-404659.6956
CPTY_A,313,0.0000,-1081966.8825,0.0000,-1081966.8825
CPTY_A,314,363410.9882,-71681.8884,363410.9882,-71681.8884
CPTY_A,315,76165.5728,-428545.3098,76165.5728,-428545.3098
CPTY_A,316,95911.3271,-273109.5870,95911.3271,-273109.5870
CPTY_A,317,359054.2943,-222729.1117,359054.2943,-222729.1117
CPTY_A,318,361219.1694,-308488.6539,361219.1694,-308488.6539
CPTY_A,319,1648670.3395,-3939.0578,1648670.3395,-3939.0578
CPTY_A,320,68956.4786,-647341.8399,68956.4786,-647341.8399
CPTY_A,321,37950.3466,-780824.7001,37950.3466,-780824.7001
CPTY_A,322,623873.6692,-8495.1159,623873.6692,-8495.1159
CPTY_A,323,27669.1051,-736801.0979,27669.1051,-736801.0979
CPTY_A,324,52689.0807,-635958.4767,52689.0807,-635958.4767
CPTY_A,325,520071.2927,-50998.4812,520071.2927,-50998.4812
CPTY_A,326,239917.8481,-48645.7272,239917.8481,-48645.7272
CPTY_A,327,829777.5848,-74694.3680,829777.5848,-74694.3680
CPTY_A,328,18487.4988,-622526.1624,18487.4988,-622526.1624
CPTY_A,329,24691.3703,-872499.3228,24691.3703,-872499.3228
CPTY_A,330,113709.4909,-263613.3509,113709.4909,-263613.3509
CPTY_A,331,378549.1325,-57325.8603,378549.1325,-57325.8603
CPTY_A,332,346483.4817,-163450.2953,346483.4817,-163450.2953
CPTY_A,333,51134.3141,-295120.3285,51134.3141,-295120.3285
CPTY_A,334,467418.7589,-41021.7340,467418.7589,-41021.7340
CPTY_A,335,983910.6306,-128381.7968,983910.6306,-128381.7968
CPTY_A,336,20054.5375,-584647.1159,20054.5375,-584647.1159
CPTY_A,337,116480.0510,-536108.2218,116480.0510,-536108.2218
CPTY_A,338,677152.8611,-35799.1659,677152.8611,-35799.1659
CPTY_A,339,64002.8972,-646038.4032,64002.8972,-646038.4032
CPTY_A,340,1054.5505,-1086334.5665,1054.5505,-1086334.5665
CPTY_A,341,10046.7784,-558341.5541,10046.7784,-558341.5541
CPTY_A,342,19883.3346,-382959.5678,19883.3346,-382959.5678
CPTY_A,343,1742380.1926,-7689.0820,1742380.1926,-7689.0820
CPTY_A,344,3859.2803,-605365.0378,3859.2803,-605365.0378
CPTY_A,345,3396.7202,-998199.3105,3396.7202,-998199.3105
CPTY_A,346,132506.6267,-188901.2076,132506.6267,-188901.2076
CPTY_A,347,131499.5720,-269714.0678,131499.5720,-269714.0678
CPTY_A,348,177279.0451,-332418.6084,177279.0451,-332418.6084
CPTY_A,349,616506.9457,-74944.7429,616506.9457,-74944.7429
CPTY_A,350,243690.8114,-96199.2008,243690.8114,-96199.2008
CPTY_A,351,1557698.2585,-10872.2508,1557698.2585,-10872.2508
CPTY_A,352,9666.0356,-1027711.6325,9666.0356,-1027711.6325
CPTY_A,353,16760.7409,-754681.7052,16760.7409,-754681.7052
CPTY_A,354,605762.3307,-78317.7244,605762.3307,-78317.7244
CPTY_A,355,2438.0458,-530424.4856,2438.0458,-530424.4856
CPTY_A,356,227128.8956,-395898.0835,227128.8956,-395898.0835
CPTY_A,357,339898.9817,-103573.3969,339898.9817,-103573.3969
CPTY_A,358,222447.8257,-144674.5660,222447.8257,-144674.5660
CPTY_A,359,963522.3092,-72900.7698,963522.3092,-72900.7698
CPTY_A,360,250773.7102,-425408.4343,250773.7102,-425408.4343
CPTY_A,361,16461.0730,-1155598.6798,16461.0730,-1155598.6798
CPTY_A,362,29624.5483,-321871.9539,29624.5483,-321871.9539
CPTY_A,363,207915.4434,-84869.0364,207915.4434,-84869.0364
CPTY_A,364,31077.3002,-497305.2959,31077.3002,-497305.2959
CPTY_A,365,121006.4785,-207264.7922,121006.4785,-207264.7922
CPTY_A,366,445809.3861,-29368.9949,445809.3861,-29368.9949
CPTY_A,367,1405309.8768,-30443.2755,1405309.8768,-30443.2755
CPTY_A,368,34534.2481,-494116.1140,34534.2481,-494116.1140
CPTY_A,369,85518.8136,-465925.3632,85518.8136,-465925.3632
CPTY_A,370,314509.3202,-123344.3170,314509.3202,-123344.3170
CPTY_A,371,16245.2274,-480791.0142,16245.2274,-480791.0142
CPTY_A,372,19903.1990,-828095.4851,19903.1990,-828095.4851
CPTY_A,373,25583.7631,-315046.6133,25583.7631,-315046.6133
CPTY_A,374,611825.0305,-106569.9220,611825.0305,-106569.9220
CPTY_A,375,2196958.0637,-9198.3652,2196958.0637,-9198.3652
CPTY_A,376,92128.9450,-608750.4747,92128.9450,-608750.4747
CPTY_A,377,1840.1062,-799121.8882,1840.1062,-799121.8882
CPTY_A,378,698361.9377,-74968.7352,698361.9377,-74968.7352
CPTY_A,379,204947.1259,-128568.7585,204947.1259,-128568.7585
CPTY_A,380,232402.6333,-155893.1772,232402.6333,-155893.1772
CPTY_A,381,410754.8290,-33574.7753,410754.8290,-33574.7753
CPTY_A,382,830816.6715,-217233.5457,830816.6715,-217233.5457
CPTY_A,383,1429338.9843,-2925.1928,1429338.9843,-2925.1928
CPTY_A,384,274401.4111,-187593.7173,274401.4111,-187593.7173
CPTY_A,385,93860.1372,-611815.9801,93860.1372,-611815.9801
CPTY_A,386,132079.2522,-360725.1784,132079.2522,-360725.1784
CPTY_A,387,698851.7017,-34727.2586,698851.7017,-34727.2586
CPTY_A,388,207746.6255,-498870.6784,207746.6255,-498870.6784
CPTY_A,389,8139.1825,-767616.1643,8139.1825,-767616.1643
CPTY_A,390,747724.7254,-84987.5139,747724.7254,-84987.5139
CPTY_A,391,34565.8665,-551786.3821,34565.8665,-551786.3821
CPTY_A,392,228869.1037,-107865.7003,228869.1037,-107865.7003
CPTY_A,393,34989.8384,-455958.2752,34989.8384,-455958.2752
CPTY_A,394,49865.0393,-414348.7927,49865.0393,-414348.7927
CPTY_A,395,431047.0573,-79209.4945,431047.0573,-79209.4945
