#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,55680.51,84270.27,40998.47,-5788.90,46599.26,-6588.91,50415.09,-7135.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55680.51,84270.27,None,365611.82,365611.82
Swap_20,CPTY_A,55680.51,84270.27,40998.47,-5788.90,46599.26,-6588.91,50415.09,-7135.17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,365611.82,365611.82
