#Portfolio,Sample,AsOfDate,Time,InitialMargin,Currency,SimmSide,Depth
CPTY_A,0,2016-02-05,0.000000,0.000000,,Call,0
CPTY_A,0,2016-05-06,0.248634,6560.093262,,Call,0
CPTY_A,0,2016-08-05,0.497268,5655.530762,,Call,0
CPTY_A,0,2016-11-07,0.754098,6496.774902,,Call,0
CPTY_A,0,2017-02-06,1.003002,6153.433594,,Call,0
CPTY_A,0,2017-05-05,1.244098,6304.208496,,Call,0
CPTY_A,0,2017-08-07,1.501632,6057.299316,,Call,0
CPTY_A,0,2017-11-06,1.750947,5770.435059,,Call,0
CPTY_A,0,2018-02-05,2.000262,5770.491699,,Call,0
CPTY_A,0,2018-05-08,2.252317,6670.604980,,Call,0
CPTY_A,0,2018-08-06,2.498892,6633.185059,,Call,0
CPTY_A,0,2018-11-05,2.748207,6487.823730,,Call,0
CPTY_A,0,2019-02-05,3.000262,7044.561523,,Call,0
CPTY_A,0,2019-05-07,3.249577,7104.327637,,Call,0
CPTY_A,0,2019-08-05,3.496152,6321.976074,,Call,0
CPTY_A,0,2019-11-05,3.748207,6890.991211,,Call,0
CPTY_A,0,2020-02-05,4.000000,6652.069336,,Call,0
CPTY_A,0,2020-05-05,4.245902,6714.168945,,Call,0
CPTY_A,0,2020-08-05,4.497268,5883.388184,,Call,0
CPTY_A,0,2020-11-05,4.748634,6481.052246,,Call,0
CPTY_A,0,2021-02-05,5.000262,6685.197266,,Call,0
CPTY_A,0,2021-05-05,5.244098,6651.756836,,Call,0
CPTY_A,0,2021-08-05,5.496152,5893.693359,,Call,0
CPTY_A,0,2021-11-05,5.748207,7361.241211,,Call,0
CPTY_A,0,2022-02-07,6.005741,7587.697266,,Call,0
CPTY_A,0,2022-05-05,6.244098,6476.193359,,Call,0
CPTY_A,0,2022-08-05,6.496152,6675.605469,,Call,0
CPTY_A,0,2022-11-07,6.753687,6834.062500,,Call,0
CPTY_A,0,2023-02-06,7.003002,6602.280762,,Call,0
CPTY_A,0,2023-05-05,7.244098,6926.687500,,Call,0
CPTY_A,0,2023-08-07,7.501632,7235.708008,,Call,0
CPTY_A,0,2023-11-06,7.750947,7067.351074,,Call,0
CPTY_A,0,2024-02-05,8.000000,7269.647461,,Call,0
CPTY_A,0,2024-05-07,8.251366,7742.682617,,Call,0
CPTY_A,0,2024-08-05,8.497268,7436.129883,,Call,0
CPTY_A,0,2024-11-05,8.748634,6526.025391,,Call,0
CPTY_A,0,2025-02-05,9.000262,6507.574707,,Call,0
CPTY_A,0,2025-05-06,9.246837,7300.678711,,Call,0
CPTY_A,0,2025-08-05,9.496152,6754.397949,,Call,0
CPTY_A,0,2025-11-05,9.748207,6679.958984,,Call,0
CPTY_A,0,2026-02-05,10.000262,6168.824707,,Call,0
CPTY_A,0,2026-05-05,10.244098,6766.922363,,Call,0
CPTY_A,0,2026-08-05,10.496152,6655.346680,,Call,0
CPTY_A,0,2026-11-05,10.748207,6589.162598,,Call,0
CPTY_A,0,2027-02-05,11.000262,6453.527832,,Call,0
CPTY_A,0,2027-05-05,11.244098,5979.458496,,Call,0
CPTY_A,0,2027-08-05,11.496152,6072.785156,,Call,0
CPTY_A,0,2027-11-05,11.748207,6286.927734,,Call,0
CPTY_A,0,2028-02-07,12.005464,5904.074707,,Call,0
CPTY_A,0,2028-05-05,12.245902,5827.763184,,Call,0
CPTY_A,0,2028-08-07,12.502732,6275.001953,,Call,0
CPTY_A,0,2028-11-06,12.751366,5128.709961,,Call,0
CPTY_A,0,2029-02-05,13.000262,5760.910156,,Call,0
CPTY_A,0,2029-05-08,13.252317,5802.382813,,Call,0
CPTY_A,0,2029-08-06,13.498892,5082.541992,,Call,0
CPTY_A,0,2029-11-05,13.748207,5510.798340,,Call,0
CPTY_A,0,2030-02-05,14.000262,5215.954590,,Call,0
CPTY_A,0,2030-05-07,14.249577,4530.623047,,Call,0
CPTY_A,0,2030-08-05,14.496152,4528.785645,,Call,0
CPTY_A,0,2030-11-05,14.748207,5017.297852,,Call,0
CPTY_A,0,2031-02-05,15.000262,4402.977539,,Call,0
CPTY_A,0,2031-05-06,15.246837,3889.104248,,Call,0
CPTY_A,0,2031-08-05,15.496152,4419.184082,,Call,0
CPTY_A,0,2031-11-05,15.748207,3489.739746,,Call,0
CPTY_A,0,2032-02-05,16.000000,3497.010742,,Call,0
