#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,71694.24,183241.45,80205.49,-6342.71,90721.45,-7094.40,103198.19,-7990.16,-7256884.16,0.00,0.00,0.00,0.00,0.00,-7517994.97,71694.24,183241.45,None,593690.49,593690.49
Swap_20,CPTY_A,81395.26,155002.42,67294.55,-7048.56,76748.78,-8058.52,88054.28,-9272.30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,279199.04,279199.04
Swap_21,CPTY_A,29352.83,29107.64,13335.68,-2728.43,14401.15,-2901.92,15574.80,-3091.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,401569.84,401569.84
