#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,169368.48,1987692.29,947406.89,-24906.46,1020246.71,-28402.19,1067355.73,-30737.86,0.00,-38698.73,0.00,0.00,0.00,0.00,0.00,169368.48,1987692.29,None,36291.80,46540.09
BermSwp,CPTY_A,4385.09,78.84,33.42,-649.60,43.93,-735.36,51.70,-793.90,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,52397.30,52397.30
CC_SWAP_EUR_USD,CPTY_A,139189.46,1986766.16,948164.96,-20769.31,1018787.81,-23341.34,1064232.22,-25026.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,34181.77,40641.52
FXSwap_Far,CPTY_A,4958.36,11435.77,5381.87,-751.44,5926.06,-831.49,6281.11,-883.80,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,24927.79,24927.79
FXSwap_Near,CPTY_A,146.63,72.10,35.71,-24.53,35.81,-24.59,35.86,-24.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,49522.90,49522.90
FX_CALL_OPTION,CPTY_A,12405.77,0.00,0.00,-1920.60,0.00,-2080.38,0.00,-2183.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,219241.74,219241.74
Swap_EUR,CPTY_A,38462.76,68587.67,31588.10,-5651.40,36112.66,-6449.99,39214.30,-6995.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,211564.29,215867.64
Swap_USD,CPTY_A,57784.75,63245.23,29307.57,-8550.46,33151.51,-9690.17,35770.47,-10464.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,373957.17,373957.17
