Mon Mar 23 20:21:39 2026    /tmp/usd_sofr_basis.prof

         2282331 function calls (2264917 primitive calls) in 7.626 seconds

   Ordered by: cumulative time
   List reduced from 6043 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      483    0.002    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.069    0.069 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/arrays/__init__.py:1(<module>)
      128    0.000    0.000    0.066    0.001 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/dataclasses.py:1294(wrap)
      128    0.004    0.000    0.066    0.001 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/dataclasses.py:929(_process_class)
        1    0.000    0.000    0.063    0.063 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/groupby/__init__.py:1(<module>)
        1    0.000    0.000    0.062    0.062 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/groupby/generic.py:1(<module>)
        1    0.000    0.000    0.057    0.057 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/arrays/arrow/__init__.py:1(<module>)
9200/8846    0.001    0.000    0.056    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.055    0.055 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/_libs/__init__.py:1(<module>)
    24890    0.055    0.000    0.055    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.052    0.052 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/frame.py:1(<module>)
        5    0.000    0.000    0.050    0.010 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/importlib/__init__.py:71(import_module)
        5    0.000    0.000    0.050    0.010 <frozen importlib._bootstrap>:1375(_gcd_import)
2448/2435    0.015    0.000    0.050    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.050    0.050 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/runtime/__init__.py:42(__getattr__)
        1    0.000    0.000    0.049    0.049 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/runtime/runtime.py:1(<module>)
      483    0.008    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
   113464    0.024    0.000    0.048    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/__init__.py:330(_compile)
      188    0.001    0.000    0.047    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.046    0.046 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/_libs/tslibs/__init__.py:1(<module>)
     5238    0.019    0.000    0.043    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.043    0.043 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/numpy/__init__.py:1(<module>)
        1    0.000    0.000    0.041    0.041 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/compat/__init__.py:1(<module>)
      483    0.040    0.000    0.040    0.000 {built-in method marshal.loads}
