Mon Mar 23 20:21:34 2026    /tmp/usd_basis.prof

         1310957 function calls (1293575 primitive calls) in 1.962 seconds

   Ordered by: cumulative time
   List reduced from 6044 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.065    0.065 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/workflows/ore_snapshot_cli.py:6006(_ore_reference_summary)
        1    0.000    0.000    0.064    0.064 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/groupby/__init__.py:1(<module>)
        1    0.000    0.000    0.064    0.064 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/groupby/generic.py:1(<module>)
        1    0.000    0.000    0.057    0.057 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/arrays/arrow/__init__.py:1(<module>)
9202/8848    0.001    0.000    0.057    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.056    0.056 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/_libs/__init__.py:1(<module>)
        1    0.000    0.000    0.053    0.053 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/frame.py:1(<module>)
        5    0.000    0.000    0.052    0.010 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/importlib/__init__.py:71(import_module)
        5    0.000    0.000    0.051    0.010 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.051    0.051 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/runtime/__init__.py:42(__getattr__)
2448/2435    0.015    0.000    0.050    0.000 {built-in method builtins.__build_class__}
    24868    0.050    0.000    0.050    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.050    0.050 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/runtime/runtime.py:1(<module>)
      483    0.008    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
        1    0.000    0.000    0.047    0.047 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/_libs/tslibs/__init__.py:1(<module>)
    26670    0.009    0.000    0.046    0.000 /Users/gordonlee/Documents/PythonOreRunner/src/pythonore/io/ore_snapshot.py:1915(_split_ore_loader_line)
     5236    0.019    0.000    0.043    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.042    0.042 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/compat/__init__.py:1(<module>)
        1    0.000    0.000    0.042    0.042 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/numpy/__init__.py:1(<module>)
      483    0.041    0.000    0.041    0.000 {built-in method marshal.loads}
